id,module,supermodule,dim_1,dim_2
ENSMUSG00000073616,3,1,1.82745607764679,-2.24602214304023
ENSMUSG00000058715,2,2,0.750009378504335,1.68186195882744
ENSMUSG00000062997,9,1,2.57746323020416,-1.20505056587272
ENSMUSG00000027620,6,2,-1.47247345178169,6.69696029218621
ENSMUSG00000016252,3,1,1.77600224883515,-2.71714238134437
ENSMUSG00000079435,7,1,4.14749153525788,-0.639028780732683
ENSMUSG00000038642,8,2,-1.47091252534431,3.24282058271355
ENSMUSG00000068240,7,1,3.64805277259308,-1.11416924801879
ENSMUSG00000053317,3,1,2.0433653202768,-2.91197005716377
ENSMUSG00000063882,5,1,4.74373157889801,-2.16319076028877
ENSMUSG00000036905,8,2,-1.48385873614591,3.27299054655022
ENSMUSG00000036896,8,2,-1.48413263438982,3.2310636857409
ENSMUSG00000036887,8,2,-1.48146213768762,3.33158620389886
ENSMUSG00000028936,7,1,4.35171421439606,-1.18128145543151
ENSMUSG00000028998,3,1,1.24049790770966,-2.67975870576911
ENSMUSG00000029823,6,2,-1.72977640657467,6.56512149366326
ENSMUSG00000079523,5,1,3.78496988685089,-2.36644045320564
ENSMUSG00000041571,1,1,-0.22042719452423,-2.43141702619605
ENSMUSG00000031004,10,1,-14.6626047286276,8.3901851991076
ENSMUSG00000007891,8,2,-1.14011398880524,3.93891366514153
ENSMUSG00000037706,8,2,-1.48397161244196,3.21252044233269
ENSMUSG00000004207,8,2,-1.19239781229538,4.0988067010302
ENSMUSG00000060143,3,1,2.33434637458283,-2.01735261884742
ENSMUSG00000032383,9,1,1.015193304133,-0.331830867205194
ENSMUSG00000020267,1,1,-0.905171969819487,-1.69456551281028
ENSMUSG00000020914,10,1,-14.7371343764548,8.78915866407342
ENSMUSG00000063316,5,1,4.13908251197296,-1.67201796976142
ENSMUSG00000034708,8,2,-1.39513787059826,3.8382128098864
ENSMUSG00000020719,6,2,-0.761371472764434,6.35017522367425
ENSMUSG00000021423,8,2,-1.43561568288845,4.13836797269768
ENSMUSG00000021665,8,2,-1.3697560223822,3.41928847822137
ENSMUSG00000021660,9,1,3.24542053611237,-1.52230200973564
ENSMUSG00000067288,7,1,4.44948872001129,-1.45341358390861
ENSMUSG00000061232,2,2,-0.160518446851195,2.94981964620537
ENSMUSG00000073411,2,2,-0.106024185109557,3.0592399457354
ENSMUSG00000024621,8,2,-1.41318642525715,4.68307431730218
ENSMUSG00000092341,6,2,-1.52833629577202,6.59619887861199
ENSMUSG00000037072,11,2,0.0937633124108899,0.764991603221366
ENSMUSG00000022858,6,2,-1.86851982204956,6.75554784330315
ENSMUSG00000036751,3,1,1.85285409362274,-2.61484292951637
ENSMUSG00000062328,5,1,4.79884346396881,-1.94426325765663
ENSMUSG00000062006,5,1,4.90397652060944,-1.84894279447608
ENSMUSG00000029516,10,1,-14.4939836653952,8.10813029798455
ENSMUSG00000036768,10,1,-14.5555128249411,8.1824158051867
ENSMUSG00000027326,10,1,-14.6690820845847,8.24526294263787
ENSMUSG00000032330,3,1,0.671162208628236,-3.36213604417854
ENSMUSG00000000682,4,1,1.8973680344339,-4.09032885042243
ENSMUSG00000064373,2,2,-0.322496214795531,2.94743712934441
ENSMUSG00000079641,7,1,4.50336321265656,-1.26135135499053
ENSMUSG00000030647,1,1,-0.0358798894171131,-1.2360059401136
ENSMUSG00000025967,9,1,3.2343254891153,-0.837050282035402
ENSMUSG00000036372,3,1,1.95055707366425,-2.66857115236335
ENSMUSG00000028843,4,1,2.00586088569122,-4.02038351503425
ENSMUSG00000036781,1,1,-0.84802249996704,-1.82239881959968
ENSMUSG00000058546,7,1,3.77475508124787,-1.48572883812003
ENSMUSG00000090137,5,1,4.60704477698761,-2.12666956392341
ENSMUSG00000036777,10,1,-14.5496534499411,8.16779883893914
ENSMUSG00000016427,3,1,1.93804415137726,-2.70069781747871
ENSMUSG00000018585,3,1,1.76771362693268,-2.33362404314094
ENSMUSG00000021290,3,1,2.06731995017487,-2.41103819814735
ENSMUSG00000025492,4,1,1.19173439414459,-4.02575341669135
ENSMUSG00000070394,9,1,0.732745489191591,-1.12104091850334
ENSMUSG00000009927,5,1,5.32889851005036,-1.65570483413749
ENSMUSG00000090733,5,1,4.66606624991852,-2.11245397535377
ENSMUSG00000021939,8,2,-1.20423028795761,3.19783695730157
ENSMUSG00000023020,3,1,1.41292270095307,-2.71153370348029
ENSMUSG00000061787,9,1,1.27112348945099,-0.882668123219541
ENSMUSG00000062683,9,1,1.31038578422028,-0.754315719578794
ENSMUSG00000057863,7,1,4.66835220725495,-1.2257953068357
ENSMUSG00000022961,6,2,-1.55506913169068,6.63897832426018
ENSMUSG00000030795,6,2,-1.94490153520149,6.79938968213982
ENSMUSG00000048758,7,1,3.88774975211579,-1.31819687095695
ENSMUSG00000036199,3,1,2.2624803391214,-2.16606346574836
ENSMUSG00000038900,7,1,3.88603313834625,-0.796170261094725
ENSMUSG00000010376,3,1,0.388954481195985,-2.65806547609382
ENSMUSG00000000563,1,1,0.339770635675966,-1.98240355459266
ENSMUSG00000022108,2,2,0.234835108828126,2.37686427625603
ENSMUSG00000003429,5,1,5.1591678467508,-1.40682444778495
ENSMUSG00000034566,3,1,1.37397106559235,-3.06355420557075
ENSMUSG00000018567,4,1,1.78738363654572,-4.2184471270185
ENSMUSG00000024953,4,1,1.64006622703034,-4.95938459840827
ENSMUSG00000072115,2,2,-0.221157113004149,2.24763711484856
ENSMUSG00000005583,6,2,-1.75151456325096,5.83541329893059
ENSMUSG00000035024,10,1,-14.4373439940695,8.10774024518914
ENSMUSG00000061983,9,1,2.81087311179596,-1.22955486980491
ENSMUSG00000028312,10,1,-14.694226661611,8.83621676954217
ENSMUSG00000025362,9,1,3.19105680854279,-1.38800314870887
ENSMUSG00000049751,9,1,2.5913377609964,-0.995469682488969
ENSMUSG00000068523,4,1,1.64758618743378,-3.89271322694831
ENSMUSG00000018293,4,1,2.32407291800934,-4.38074747530036
ENSMUSG00000020163,1,1,0.29767902762848,-1.70536921230369
ENSMUSG00000073702,9,1,2.18050225646454,-1.06819833127075
ENSMUSG00000049517,7,1,4.46178396613556,-1.43316785303169
ENSMUSG00000061518,3,1,0.956527551722108,-3.53804556337409
ENSMUSG00000064354,10,1,-19.0600017699484,-11.3525573393446
ENSMUSG00000027422,6,2,-1.58318489595097,5.35353978666253
ENSMUSG00000021520,1,1,0.426659187388002,-1.87437931505256
ENSMUSG00000046718,11,2,0.353561719965516,0.370246134128043
ENSMUSG00000030579,2,2,0.878480991434633,1.65055140050835
ENSMUSG00000027829,6,2,-1.60681713131037,6.57595857175774
ENSMUSG00000079017,1,1,-0.75717286198181,-1.28504721132331
ENSMUSG00000025290,5,1,4.55444963843781,-1.69763837066703
ENSMUSG00000031839,1,1,0.800808033060609,-1.49177060333305
ENSMUSG00000060938,5,1,4.98409851462799,-1.49921432939582
ENSMUSG00000060636,5,1,5.20184286506134,-1.38569680658393
ENSMUSG00000057322,5,1,4.05306919486481,-1.4680341860395
ENSMUSG00000021477,2,2,-0.630984762597502,2.94127591642327
ENSMUSG00000069516,4,1,1.77527745635468,-5.1088554045301
ENSMUSG00000059355,9,1,1.45335229308563,-0.617867179785303
ENSMUSG00000004285,5,1,4.99688299567658,-2.73171583620124
ENSMUSG00000041881,3,1,2.03269203574616,-2.92603556123786
ENSMUSG00000060703,2,2,-0.169418731618346,1.92273958715386
ENSMUSG00000049760,3,1,1.27038916022736,-2.51791433301978
ENSMUSG00000031029,5,1,5.2203718033548,-2.04326263872199
ENSMUSG00000047843,2,2,0.88138492972809,1.51216276678033
ENSMUSG00000031231,1,1,-0.161199966359557,-2.61337844339424
ENSMUSG00000093674,3,1,2.50425108344513,-2.01828340498023
ENSMUSG00000022174,9,1,1.86089476020294,-0.715503685746721
ENSMUSG00000037563,5,1,4.88528450400788,-1.85251549688392
ENSMUSG00000090000,4,1,2.69589193732697,-3.70060864893012
ENSMUSG00000018593,8,2,-1.3669908735041,3.35129865201897
ENSMUSG00000016256,8,2,-1.34713844387573,3.29299911054558
ENSMUSG00000002379,1,1,0.199750265192567,-2.4672937771421
ENSMUSG00000021917,1,1,0.608069023203431,-1.46339640823417
ENSMUSG00000050732,4,1,2.27921708495575,-3.94997827020698
ENSMUSG00000017404,7,1,4.66933639914948,-1.14471421447807
ENSMUSG00000031320,5,1,5.09535749824005,-1.61426810232215
ENSMUSG00000039396,10,1,-14.6077350768332,8.24716933759637
ENSMUSG00000053565,9,1,2.3476444092508,-1.38011155334525
ENSMUSG00000031059,3,1,0.661213001322328,-3.21758095232063
ENSMUSG00000022769,11,2,-0.385570445943297,0.486616335238883
ENSMUSG00000012848,7,1,3.5216413346048,-1.18384195176177
ENSMUSG00000057841,7,1,4.80375822455841,-1.21737901178413
ENSMUSG00000030342,2,2,0.394597133707582,1.96057494672723
ENSMUSG00000002014,11,2,0.339523872446595,0.349519453372428
ENSMUSG00000090841,4,1,2.4110136833902,-4.45934287515693
ENSMUSG00000012405,9,1,3.27603062064606,-1.29009104577117
ENSMUSG00000022817,8,2,-1.34818250863594,4.63794120344109
ENSMUSG00000055762,7,1,3.61381681830841,-0.718368173215917
ENSMUSG00000025781,3,1,1.46556671531159,-2.04986909833961
ENSMUSG00000024608,5,1,4.66488130958039,-1.75107798782401
ENSMUSG00000015575,4,1,1.94636209876495,-4.02109757867866
ENSMUSG00000064370,10,1,-19.0955051573996,-11.318092503224
ENSMUSG00000027447,2,2,-0.295630970883788,2.56288798841424
ENSMUSG00000046330,5,1,5.32923849494415,-1.98104528394752
ENSMUSG00000064023,8,2,-0.253854075360717,5.15718205961175
ENSMUSG00000001289,5,1,5.22984846503693,-2.36364404169135
ENSMUSG00000038274,5,1,5.09896620185333,-2.5450423142057
ENSMUSG00000025351,2,2,0.19986899764496,1.90708120855279
ENSMUSG00000078578,6,2,-1.31439552633804,6.76835092100091
ENSMUSG00000059534,1,1,0.0375003424401867,-2.90262667146736
ENSMUSG00000084786,3,1,1.54044660003143,-3.32381073442512
ENSMUSG00000073987,2,2,0.904745182108461,1.36210163625664
ENSMUSG00000064358,10,1,-19.1250290068869,-11.2877599379163
ENSMUSG00000060802,2,2,0.671117624353944,1.41927584203667
ENSMUSG00000033307,1,1,0.424387535166322,-2.25938514677101
ENSMUSG00000030844,2,2,0.445236524653016,1.63202055486626
ENSMUSG00000000088,3,1,0.313962897371827,-2.9921070715528
ENSMUSG00000019505,4,1,2.88171347053009,-4.18072763887458
ENSMUSG00000008683,7,1,3.9312306252237,-1.34029362407737
ENSMUSG00000033940,3,1,2.03041919143158,-3.44732753244453
ENSMUSG00000022890,1,1,0.284400304865419,-2.49536375013404
ENSMUSG00000013622,2,2,-0.375388065267028,2.53583844694085
ENSMUSG00000055541,8,2,-1.50261119185728,5.07804473432488
ENSMUSG00000044894,1,1,-0.0550702008489978,-2.47656110731178
ENSMUSG00000059498,2,2,0.193203171801149,2.28043945821709
ENSMUSG00000024048,3,1,1.63031919867951,-3.3581172606092
ENSMUSG00000013707,2,2,0.731169065546571,2.17627867254204
ENSMUSG00000029632,1,1,-0.275863567281188,-1.53330460992866
ENSMUSG00000073412,4,1,1.71672709853607,-5.05091396776252
ENSMUSG00000031818,3,1,2.28815635116059,-2.23056570497566
ENSMUSG00000028081,7,1,4.41816528708893,-1.17795667854362
ENSMUSG00000039163,7,1,4.78134020240265,-0.588506885443262
ENSMUSG00000078974,9,1,2.75313576133209,-1.58452383485847
ENSMUSG00000043716,5,1,4.82349642188507,-1.66663960424476
ENSMUSG00000073676,9,1,0.870322307657777,-0.409587003861001
ENSMUSG00000062647,7,1,5.12095220954376,-0.909786701772741
ENSMUSG00000061477,7,1,4.49603708655792,-1.2774735173326
ENSMUSG00000029177,10,1,-14.6458334120993,8.84969600233025
ENSMUSG00000028495,7,1,3.40805109412628,-1.13582510558181
ENSMUSG00000070493,3,1,1.43030460746246,-3.16898170915656
ENSMUSG00000050552,4,1,1.62939580352265,-4.91440788713508
ENSMUSG00000030557,6,2,-1.67821747987312,6.1539529183764
ENSMUSG00000027763,6,2,-1.67723720698398,6.82105906995721
ENSMUSG00000041841,5,1,5.30960472495514,-1.67400763240867
ENSMUSG00000044783,10,1,-14.4438108596091,8.05682357343621
ENSMUSG00000064357,10,1,-19.1171821746115,-11.2920037886243
ENSMUSG00000035674,3,1,0.959622701716005,-3.71231070962959
ENSMUSG00000007892,7,1,4.85591419608551,-0.61996818390899
ENSMUSG00000003072,3,1,1.31375654609162,-2.6988109728437
ENSMUSG00000058558,7,1,4.28938444526154,-0.565311186585954
ENSMUSG00000064351,10,1,-19.1610740813498,-11.2516490599256
ENSMUSG00000040713,2,2,0.183242043566285,2.35003646406121
ENSMUSG00000009863,1,1,0.57783325583893,-1.19149855581336
ENSMUSG00000023992,2,2,-0.323007741856993,3.25593074354119
ENSMUSG00000030432,9,1,3.10139616401154,-1.55849865881019
ENSMUSG00000055839,3,1,1.20160802276093,-3.08127299753242
ENSMUSG00000038717,3,1,1.79699214370209,-3.58009687868171
ENSMUSG00000007041,3,1,2.07645328910309,-3.20784679857307
ENSMUSG00000022312,5,1,4.01013573081452,-1.87905613390022
ENSMUSG00000050856,3,1,0.467310508799135,-3.02885214296394
ENSMUSG00000042043,3,1,1.09234484107453,-2.02195981946998
ENSMUSG00000028873,10,1,-14.7215389403586,8.90927394422478
ENSMUSG00000028822,4,1,2.87504919440705,-3.75359860864692
ENSMUSG00000021040,1,1,-0.457988897252501,-0.908402957592538
ENSMUSG00000042737,1,1,0.684045394968568,-1.65892574993186
ENSMUSG00000047215,5,1,5.07580145270783,-1.83663228956275
ENSMUSG00000058443,7,1,5.25116499335724,-1.02021995988899
ENSMUSG00000022587,2,2,-0.455584088254393,1.61256083043999
ENSMUSG00000023175,2,2,-0.0279539021734607,1.28100617917962
ENSMUSG00000062691,11,2,0.124091824602662,0.43262752088494
ENSMUSG00000052146,5,1,4.94930942923981,-1.78618774620109
ENSMUSG00000022452,3,1,1.11200292975861,-2.65438906160407
ENSMUSG00000039105,4,1,1.76465280921417,-4.20825592485481
ENSMUSG00000005142,8,2,-1.14767462937874,4.380875907268
ENSMUSG00000064341,10,1,-19.1295360717062,-11.2843963286024
ENSMUSG00000041697,1,1,-0.41311244099182,-2.12354937997871
ENSMUSG00000022820,3,1,2.28611906440216,-3.15993133989387
ENSMUSG00000040824,1,1,-0.846643308091582,-2.22320822683387
ENSMUSG00000025794,7,1,3.51174457938629,-0.836420544062189
ENSMUSG00000041453,7,1,4.92038925559479,-0.74751031083279
ENSMUSG00000026605,10,1,-14.6885999831442,8.46810039075799
ENSMUSG00000020460,5,1,5.10116585166413,-2.67568544355445
ENSMUSG00000098274,7,1,4.07908209235626,-1.35619948116355
ENSMUSG00000028234,7,1,4.36845119864899,-0.621078752551607
ENSMUSG00000052160,8,2,-1.42269522874397,4.75267728361077
ENSMUSG00000035352,2,2,-0.999031761575164,2.21424659284539
ENSMUSG00000090862,5,1,4.88399179847199,-1.89651195016914
ENSMUSG00000006333,5,1,4.99053104789215,-2.66440025774055
ENSMUSG00000017466,2,2,0.237843116831361,2.14506705793328
ENSMUSG00000095687,2,2,-0.320165196347655,2.0310703137774
ENSMUSG00000029465,4,1,2.45407112510163,-4.41796866861396
ENSMUSG00000029048,1,1,-0.558287063527526,-1.44682399240547
ENSMUSG00000061315,7,1,3.75378330619293,-1.18648830858283
ENSMUSG00000033880,8,2,-1.24283436863464,2.91155942472405
ENSMUSG00000010406,9,1,2.39421614081818,-0.88684159574323
ENSMUSG00000022940,2,2,0.781935295176088,2.34036239179558
ENSMUSG00000024248,5,1,5.28329571158844,-2.13547734228187
ENSMUSG00000036908,8,2,-1.2008001896624,4.34828742536492
ENSMUSG00000018774,2,2,-0.110404172826232,2.21575673612542
ENSMUSG00000115338,1,1,-0.647898295808257,-1.09236735907607
ENSMUSG00000037649,2,2,-0.10739544956726,1.30701693090386
ENSMUSG00000068129,11,2,0.445353588175355,0.851802430476615
ENSMUSG00000064363,10,1,-19.1819748076682,-11.2328244825941
ENSMUSG00000058600,5,1,5.37892301948029,-1.71807364431434
ENSMUSG00000016319,9,1,1.27554710776764,-0.506819524441293
ENSMUSG00000042312,5,1,4.05240925223786,-2.33036450353675
ENSMUSG00000096145,11,2,-0.572092810559691,0.35493489297814
ENSMUSG00000095041,6,2,-1.66733730389518,6.37937243970818
ENSMUSG00000054364,6,2,-1.36256826846641,5.49537690671868
ENSMUSG00000060063,4,1,1.64004596145111,-5.03366772142463
ENSMUSG00000021190,8,2,-1.43438089816612,3.33545621427483
ENSMUSG00000059291,7,1,4.96121796042877,-1.03203440514617
ENSMUSG00000027673,9,1,2.00508960158783,-0.955256052885583
ENSMUSG00000033938,3,1,0.253466328692018,-3.24888292757087
ENSMUSG00000020485,4,1,2.8323832360025,-4.42969862428718
ENSMUSG00000059070,7,1,4.09117420585114,-1.27304793206268
ENSMUSG00000060791,4,1,2.46930750281769,-4.6202284475904
ENSMUSG00000073982,4,1,1.72395356566864,-4.99960772005134
ENSMUSG00000042747,1,1,-0.44821290104431,-2.06381670442634
ENSMUSG00000006519,2,2,1.08100326926666,1.27334269079156
ENSMUSG00000050708,2,2,1.0377124157663,1.31392153295464
ENSMUSG00000005779,1,1,-0.469076672482909,-2.24930957761817
ENSMUSG00000015092,3,1,1.53523405463654,-2.45353917089515
ENSMUSG00000036353,8,2,-1.30662188856644,4.34858830961175
ENSMUSG00000026895,1,1,0.249632677149354,-1.23431391326003
ENSMUSG00000000078,6,2,-0.954704204488219,6.45709928068108
ENSMUSG00000073421,2,2,0.172423800539552,3.22412475141473
